ID,Longitude,Latitude,Availability,License Plate,Mobile Number
1,85.306901,27.706333,Available,ABC-1-4414,+9779748050142
2,85.309648,27.706363,Available,ABC-2-5162,+9779731024248
3,85.312432,27.704863,Not Available,ABC-3-4442,+9779859897663
4,85.310852,27.701997, Available,ABC-4-6132,+9779750049401
5,85.308854,27.702566,Available,ABC-5-5866,+9779733399833
6,85.334501,27.706011,Available,ABC-6-1855,+9779873467977
7,85.336357,27.705782,Available,ABC-7-0843,+9779784772608
8,85.332055,27.708919,Available,ABC-8-5918,+9779798485181
9,85.336754,27.709992,Not Available,ABC-9-6432,+9779888388936
10,85.339268,27.709234,Not Available,ABC-10-2642,+9779780013503
11,85.305469,27.692097,Not Available,ABC-11-0992,+9779734347285
12,85.317786,27.691289,Not Available,ABC-12-7804,+9779845533180
13,85.309168,27.689616,Available,ABC-13-2986,+9779797260326
14,85.314782,27.693081,Available,ABC-14-4516,+9779805765794
15,85.319427,27.68716,Not Available,ABC-15-8672,+9779837358095
16,85.314609,27.689249,Available,ABC-16-3021,9.77986E+12
17,85.312172,27.689284,Not Available,ABC-17-9683,9.77979E+12
18,85.311042,27.690806,Available,ABC-18-1905,9.77973E+12
19,85.31034,27.691318,Not Available,ABC-19-1595,9.77981E+12
20,85.315475,27.68942,Available	,ABC-20-2195,9.7798E+12
21,85.302032,27.718163,Not Available,ABC-21-1034,9.77972E+12
22,85.300464,27.718953,Available,ABC-22-6460,9.77974E+12
23,85.301657,27.719568,Available,ABC-23-6150,9.77974E+12	
24,85.300105,27.719701,Not Available,ABC-24-0234,9.77985E+12
25,85.301665,27.717508, Not Available,ABC-25-5849,9.77985E+12
26,85.281897,27.704595, Available,ABC-26-3635,9.77974E+12
27,85.279478,27.705445,Not Available,ABC-27-4403,9.77986E+12
28,85.280899,27.704472,Not Available,ABC-28-7064,9.77981E+12
29,85.280363,27.704201,Available,ABC-29-6612,9.77985E+12
30,85.281144,27.705122,Not Available,ABC-30-7538,9.77986E+12
